Word	Definition	page_content
OMW (On My Way)	"""J’arrive"", souvent utilisé en ping ou dans le chat pour prévenir."	"OMW (On My Way) : ""J’arrive"", souvent utilisé en ping ou dans le chat pour prévenir."
OOM (Out of Mana)	"""Je n’ai plus de mana"", donc plus de sorts à lancer."	"OOM (Out of Mana) : ""Je n’ai plus de mana"", donc plus de sorts à lancer."
OP (Overpowered)	Trop fort. Se dit d’un champion ou objet trop puissant.	OP (Overpowered) : Trop fort. Se dit d’un champion ou objet trop puissant.
OTP (One Trick Pony)	Joueur qui ne joue qu’un seul champion.	OTP (One Trick Pony) : Joueur qui ne joue qu’un seul champion.
Outfarm	Avoir plus de farm que son adversaire.	Outfarm : Avoir plus de farm que son adversaire.
Outplay	Gagner un duel ou un combat grâce à un meilleur jeu mécanique ou décisionnel.	Outplay : Gagner un duel ou un combat grâce à un meilleur jeu mécanique ou décisionnel.
Outsustain	Tenir plus longtemps que l’ennemi sur la lane grâce à plus de régénération ou de soins.	Outsustain : Tenir plus longtemps que l’ennemi sur la lane grâce à plus de régénération ou de soins.
Out of Position	Être mal placé. Souvent la cause de morts évitables.	Out of Position : Être mal placé. Souvent la cause de morts évitables.
Outrotate	Se faire battre sur la prise d’objectifs parce que l’équipe adverse se déplace plus vite ou mieux.	Outrotate : Se faire battre sur la prise d’objectifs parce que l’équipe adverse se déplace plus vite ou mieux.
Overextend	Aller trop loin sans soutien, ce qui rend facile à punir.	Overextend : Aller trop loin sans soutien, ce qui rend facile à punir.
Passive	Compétence passive d’un champion. C’est un effet qui se déclenche automatiquement, sans avoir besoin d’être activé. Certains champions en ont plusieurs.	Passive : Compétence passive d’un champion. C’est un effet qui se déclenche automatiquement, sans avoir besoin d’être activé. Certains champions en ont plusieurs.
Peel	Protéger ses alliés fragiles (souvent les ADC ou mages) en repoussant ou contrôlant les ennemis qui essaient de les atteindre.	Peel : Protéger ses alliés fragiles (souvent les ADC ou mages) en repoussant ou contrôlant les ennemis qui essaient de les atteindre.
Pick	"Choisir un champion. On parle aussi de ""bon pick"" pour désigner un bon choix face à la composition ennemie."	"Pick : Choisir un champion. On parle aussi de ""bon pick"" pour désigner un bon choix face à la composition ennemie."
Ping	Système de signalement rapide en jeu (Alt + clic). Sert à prévenir, alerter ou demander quelque chose à vos coéquipiers.	Ping : Système de signalement rapide en jeu (Alt + clic). Sert à prévenir, alerter ou demander quelque chose à vos coéquipiers.
Pink Ward	"Balise de vision (devenue ""Balise de contrôle"") qui révèle les unités invisibles à proximité."	"Pink Ward : Balise de vision (devenue ""Balise de contrôle"") qui révèle les unités invisibles à proximité."
Play for	"Jouer pour un objectif, une lane ou un joueur (ex:""Play for drake"", ""Play for top"")."	"Play for : Jouer pour un objectif, une lane ou un joueur (ex:""Play for drake"", ""Play for top"")."
Playmaker	Champion capable de réaliser des actions décisives grâce à son kit de sorts. Ex:Lee Sin, Thresh…	Playmaker : Champion capable de réaliser des actions décisives grâce à son kit de sorts. Ex:Lee Sin, Thresh…
Plays	Actions bien réalisées, souvent spectaculaires ou très efficaces.	Plays : Actions bien réalisées, souvent spectaculaires ou très efficaces.
PO (Pièces d’or)	Or du jeu, utilisé pour acheter vos objets.	PO (Pièces d’or) : Or du jeu, utilisé pour acheter vos objets.
Poke	Infliger des dégâts à distance de manière répétée, pour affaiblir l’adversaire sans prendre de risques.	Poke : Infliger des dégâts à distance de manière répétée, pour affaiblir l’adversaire sans prendre de risques.
Power Spike	Moment où un champion devient très fort (ex:niveau 6, 2 objets…).	Power Spike : Moment où un champion devient très fort (ex:niveau 6, 2 objets…).
Premade	Joueurs qui lancent une partie ensemble (groupe d’amis ou duoQ).	Premade : Joueurs qui lancent une partie ensemble (groupe d’amis ou duoQ).
Priority / Prio	Contrôle d’une lane permettant de se déplacer en premier sur un objectif ou aider ailleurs.	Priority / Prio : Contrôle d’une lane permettant de se déplacer en premier sur un objectif ou aider ailleurs.
Proxy	Technique avancée consistant à tuer les sbires ennemis entre leurs deux tours, pour mettre beaucoup de pression sur la lane.	Proxy : Technique avancée consistant à tuer les sbires ennemis entre leurs deux tours, pour mettre beaucoup de pression sur la lane.
Pull	Aider son jungler au début de la partie en tapant le monstre pour lui faciliter son premier camp.	Pull : Aider son jungler au début de la partie en tapant le monstre pour lui faciliter son premier camp.
Push	Tuer rapidement les sbires ennemis pour faire avancer sa vague et menacer une tour.	Push : Tuer rapidement les sbires ennemis pour faire avancer sa vague et menacer une tour.
Q Spell	"Sort assigné à la touche ""A"" sur clavier Azerty (ou ""Q"" sur Qwerty). Le premier sort du champion."	"Q Spell : Sort assigné à la touche ""A"" sur clavier Azerty (ou ""Q"" sur Qwerty). Le premier sort du champion."
QSS (Quicksilver Sash)	Objet qui permet de retirer les contrôles (très utile contre Malzahar ou Skarner, par exemple).	QSS (Quicksilver Sash) : Objet qui permet de retirer les contrôles (très utile contre Malzahar ou Skarner, par exemple).
QQ	Smiley pleurnichard (comme T_T). Utilisé pour se moquer d’un joueur qui râle ou abandonne.	QQ : Smiley pleurnichard (comme T_T). Utilisé pour se moquer d’un joueur qui râle ou abandonne.
Range	Portée. Distance maximale à laquelle un sort ou une auto-attaque peut toucher.	Range : Portée. Distance maximale à laquelle un sort ou une auto-attaque peut toucher.
Ranked	Partie classée. Permet de monter dans les divisions (de Fer à Challenger).	Ranked : Partie classée. Permet de monter dans les divisions (de Fer à Challenger).
Recall	Retourner à la base avec le rappel (touche B), pour acheter des objets et régénérer.	Recall : Retourner à la base avec le rappel (touche B), pour acheter des objets et régénérer.
Red Buff	Bonus de la jungle qui ralentit les ennemis et inflige des dégâts sur la durée quand vous les auto-attaquez.	Red Buff : Bonus de la jungle qui ralentit les ennemis et inflige des dégâts sur la durée quand vous les auto-attaquez.
Report	Signaler un joueur pour comportement toxique ou triche après une partie.	Report : Signaler un joueur pour comportement toxique ou triche après une partie.
Reset		
Retard	Insulte très dure. À éviter absolument.	Retard : Insulte très dure. À éviter absolument.
Runes	Bonus choisis avant la partie, influençant votre style de jeu (plus de dégâts, sustain, vitesse, etc.).	Runes : Bonus choisis avant la partie, influençant votre style de jeu (plus de dégâts, sustain, vitesse, etc.).
Roam	Quitter sa lane pour aider une autre (souvent effectué par les mids ou supports).	Roam : Quitter sa lane pour aider une autre (souvent effectué par les mids ou supports).
Root	Immobilisation par les racines. Sorte de contrôle qui empêche de se déplacer, mais pas de lancer des sorts.	Root : Immobilisation par les racines. Sorte de contrôle qui empêche de se déplacer, mais pas de lancer des sorts.
Rotation	Se déplacer avec son équipe pour prendre les objectifs un à un (tour, dragon, etc.).	Rotation : Se déplacer avec son équipe pour prendre les objectifs un à un (tour, dragon, etc.).
RQ (Rage Quit)	Quitter la partie en plein tilt. Mauvais pour l’équipe… et souvent reporté.	RQ (Rage Quit) : Quitter la partie en plein tilt. Mauvais pour l’équipe… et souvent reporté.
Scale	Monter en puissance. Certains champions sont très faibles au début, mais deviennent très forts avec le temps (ex.:Kassadin, Vayne…).	Scale : Monter en puissance. Certains champions sont très faibles au début, mais deviennent très forts avec le temps (ex.:Kassadin, Vayne…).
Shotcaller	Joueur qui donne les calls principaux (décisions stratégiques).	Shotcaller : Joueur qui donne les calls principaux (décisions stratégiques).
Side Lane	Lignes du haut et du bas (top et bot).	Side Lane : Lignes du haut et du bas (top et bot).
Shove	Pousser la lane rapidement pour faire avancer les sbires sous la tour ennemie.	Shove : Pousser la lane rapidement pour faire avancer les sbires sous la tour ennemie.
Skill		
Skill Order	Ordre dans lequel vous améliorez vos sorts au fil des niveaux.	Skill Order : Ordre dans lequel vous améliorez vos sorts au fil des niveaux.
Skill Shot	Sort qui nécessite de viser. Peut rater si l’adversaire esquive (ex.:le A de Morgana).	Skill Shot : Sort qui nécessite de viser. Peut rater si l’adversaire esquive (ex.:le A de Morgana).
Slow	Ralentissement. Réduit la vitesse de déplacement d’un ennemi.	Slow : Ralentissement. Réduit la vitesse de déplacement d’un ennemi.
Smartcast	Option de lancement rapide des sorts. Le sort est lancé dès que vous appuyez sur la touche, sans viser manuellement.	Smartcast : Option de lancement rapide des sorts. Le sort est lancé dès que vous appuyez sur la touche, sans viser manuellement.
Smite	"Sort d’invocateur ""Châtiment"", utilisé par les junglers pour tuer rapidement les monstres."	"Smite : Sort d’invocateur ""Châtiment"", utilisé par les junglers pour tuer rapidement les monstres."
Smurf	Compte secondaire d’un joueur de haut niveau pour jouer à plus bas elo.	Smurf : Compte secondaire d’un joueur de haut niveau pour jouer à plus bas elo.
Snare	Contrôle qui ralentit ou immobilise l’adversaire (parfois synonyme de root/slow).	Snare : Contrôle qui ralentit ou immobilise l’adversaire (parfois synonyme de root/slow).
Snowball	Effet boule de neige. Quand un joueur prend de l’avance et devient de plus en plus fort grâce à cet avantage initial.	Snowball : Effet boule de neige. Quand un joueur prend de l’avance et devient de plus en plus fort grâce à cet avantage initial.
Solo-Q	Jouer seul en partie classée (à l’inverse du duo ou premade).	Solo-Q : Jouer seul en partie classée (à l’inverse du duo ou premade).
Spell Vamp	Vol de vie magique. Vous vous soignez en infligeant des dégâts avec vos sorts.	Spell Vamp : Vol de vie magique. Vous vous soignez en infligeant des dégâts avec vos sorts.
Split Push	Stratégie où un joueur part seul pousser une lane pendant que son équipe met la pression ailleurs.	Split Push : Stratégie où un joueur part seul pousser une lane pendant que son équipe met la pression ailleurs.
Squishy	Fragile. Se dit d’un champion qui encaisse très mal les dégâts (ADC, mages...).	Squishy : Fragile. Se dit d’un champion qui encaisse très mal les dégâts (ADC, mages...).
SS	"Signal pour dire qu’un ennemi est ""missing"" (disparu de la lane)."	"SS : Signal pour dire qu’un ennemi est ""missing"" (disparu de la lane)."
Stack	Accumulation. Peut désigner des charges d’un objet, d’un sort, ou des bonus cumulés (ex:Mejai, Nasus…).	Stack : Accumulation. Peut désigner des charges d’un objet, d’un sort, ou des bonus cumulés (ex:Mejai, Nasus…).
Starter	Objets achetés en tout début de partie (ex:anneau de Doran, épée longue, potion rechargeable...).	Starter : Objets achetés en tout début de partie (ex:anneau de Doran, épée longue, potion rechargeable...).
Stealth	Furtivité. Rendre votre champion invisible.	Stealth : Furtivité. Rendre votre champion invisible.
Strongside	Côté de la carte priorisé (en général, là où le jungler joue).	Strongside : Côté de la carte priorisé (en général, là où le jungler joue).
Stuff	Équipement. Ensemble des objets achetés par votre champion.	Stuff : Équipement. Ensemble des objets achetés par votre champion.
Stun	Contrôle fort qui empêche tout mouvement et action.	Stun : Contrôle fort qui empêche tout mouvement et action.
Sum / Summoner	"Abréviation de ""Sort d’invocateur"", comme Flash ou Ignite."	"Sum / Summoner : Abréviation de ""Sort d’invocateur"", comme Flash ou Ignite."
Supp / Support	Champion dont le rôle est de soutenir l’équipe, protéger ses alliés et apporter de la vision.	Supp / Support : Champion dont le rôle est de soutenir l’équipe, protéger ses alliés et apporter de la vision.
Surr / Surrender	Se rendre. Voter pour abandonner la partie.	Surr / Surrender : Se rendre. Voter pour abandonner la partie.
Sustain	Capacité à rester longtemps en vie sur la lane ou dans les combats, grâce à des soins, du vol de vie ou de la régénération.	Sustain : Capacité à rester longtemps en vie sur la lane ou dans les combats, grâce à des soins, du vol de vie ou de la régénération.
Swap Lane	Échanger sa lane avec un allié, souvent pour des raisons stratégiques (éviter un match-up difficile ou surprendre).	Swap Lane : Échanger sa lane avec un allié, souvent pour des raisons stratégiques (éviter un match-up difficile ou surprendre).
Teamplay	Jouer pour l’équipe. Se coordonner, communiquer, protéger ses coéquipiers…	Teamplay : Jouer pour l’équipe. Se coordonner, communiquer, protéger ses coéquipiers…
Teamwork	Synonyme de Teamplay. Travail d’équipe.	Teamwork : Synonyme de Teamplay. Travail d’équipe.
Tempo	Désigne le rythme d’une équipe ou d’un joueur. Avoir le tempo signifie souvent avoir l’initiative pour jouer un objectif ou forcer un mouvement.	Tempo : Désigne le rythme d’une équipe ou d’un joueur. Avoir le tempo signifie souvent avoir l’initiative pour jouer un objectif ou forcer un mouvement.
Tenacity	Réduction de la durée des contrôles. Par exemple, 20 % de ténacité réduit un stun d’1 seconde à 0.8 seconde.	Tenacity : Réduction de la durée des contrôles. Par exemple, 20 % de ténacité réduit un stun d’1 seconde à 0.8 seconde.
Trade	Échange pendant un duel (PV contre PV, mana contre sorts, etc.). L’objectif est d’échanger à votre avantage.	Trade : Échange pendant un duel (PV contre PV, mana contre sorts, etc.). L’objectif est d’échanger à votre avantage.
Trinket	Objet gratuit permettant de placer de la vision sur la carte.	Trinket : Objet gratuit permettant de placer de la vision sur la carte.
Taunt	Provocation. Contrôle forçant l’adversaire à vous attaquer.	Taunt : Provocation. Contrôle forçant l’adversaire à vous attaquer.
TY (Thank You)	Merci.	TY (Thank You) : Merci.
Tank	Champion résistant, capable d’encaisser les dégâts pour son équipe.	Tank : Champion résistant, capable d’encaisser les dégâts pour son équipe.
Teamfight	Combat de groupe impliquant plusieurs joueurs de chaque équipe.	Teamfight : Combat de groupe impliquant plusieurs joueurs de chaque équipe.
Throw	Gâcher une partie bien engagée par une mauvaise décision ou un excès de confiance.	Throw : Gâcher une partie bien engagée par une mauvaise décision ou un excès de confiance.
Tilt	État émotionnel négatif (frustration, rage…) qui impacte la prise de décision.	Tilt : État émotionnel négatif (frustration, rage…) qui impacte la prise de décision.
Top	Voie du haut.	Top : Voie du haut.
Tower Dive	Plonger sous une tour ennemie pour tuer un adversaire malgré les tirs de la tour.	Tower Dive : Plonger sous une tour ennemie pour tuer un adversaire malgré les tirs de la tour.
Toxic	Négatif, insultant, nuisible au bon déroulement de la partie.	Toxic : Négatif, insultant, nuisible au bon déroulement de la partie.
True Damage	Dégâts bruts. Ils ignorent les résistances de la cible.	True Damage : Dégâts bruts. Ils ignorent les résistances de la cible.
TP	"Abréviation du sort ""Téléportation"". Parfois aussi utilisé pour ""Teamplay"", selon le contexte."	"TP : Abréviation du sort ""Téléportation"". Parfois aussi utilisé pour ""Teamplay"", selon le contexte."
Troll	Joueur qui sabote volontairement la partie, par bêtise ou provocation.	Troll : Joueur qui sabote volontairement la partie, par bêtise ou provocation.
Tryhard	Jouer à fond, être très concentré et chercher à gagner à tout prix.	Tryhard : Jouer à fond, être très concentré et chercher à gagner à tout prix.
Turtle	Tactique très défensive visant à faire durer la partie et attendre une opportunité ou un pic de puissance.	Turtle : Tactique très défensive visant à faire durer la partie et attendre une opportunité ou un pic de puissance.
Ult (Ultimate)	Sort ultime du champion, généralement le plus puissant. Se débloque au niveau 6.	Ult (Ultimate) : Sort ultime du champion, généralement le plus puissant. Se débloque au niveau 6.
Vertical Jungle	"Partage de la jungle ""de haut en bas"" plutôt que ""de gauche à droite"" (souvent après un invade)."	"Vertical Jungle : Partage de la jungle ""de haut en bas"" plutôt que ""de gauche à droite"" (souvent après un invade)."
Ward	Balise de vision. Permet de voir les déplacements ennemis et d’éviter les surprises.	Ward : Balise de vision. Permet de voir les déplacements ennemis et d’éviter les surprises.
Weakside	Côté de la carte délaissé par le jungler ou l’équipe. Le joueur en weakside doit jouer safe.	Weakside : Côté de la carte délaissé par le jungler ou l’équipe. Le joueur en weakside doit jouer safe.
Wombo Combo	Enchaînement de sorts d’équipe dévastateur, souvent bien coordonné.	Wombo Combo : Enchaînement de sorts d’équipe dévastateur, souvent bien coordonné.
WP (Well Played)	Bien joué.	WP (Well Played) : Bien joué.
Win Condition	Condition de victoire. L’élément ou stratégie clé qui permettra à votre équipe de gagner (ex:scaling d’un hyper carry, splitpush, teamfight...).	Win Condition : Condition de victoire. L’élément ou stratégie clé qui permettra à votre équipe de gagner (ex:scaling d’un hyper carry, splitpush, teamfight...).
Winions	"Jeu de mots entre ""win"" et ""minions"". Situation où les sbires finissent la partie en détruisant les objectifs."	"Winions : Jeu de mots entre ""win"" et ""minions"". Situation où les sbires finissent la partie en détruisant les objectifs."
xPeke	Référence à un backdoor mythique réalisé par le joueur xPeke. Se dit d’une victoire arrachée en solo en sneaky dans la base ennemie.	xPeke : Référence à un backdoor mythique réalisé par le joueur xPeke. Se dit d’une victoire arrachée en solo en sneaky dans la base ennemie.
Zone	"""Zoner"" un ennemi, c’est l’empêcher d’approcher d’une zone importante (sbires, objectif...) sous peine de prendre des dégâts ou un contrôle."	"Zone : ""Zoner"" un ennemi, c’est l’empêcher d’approcher d’une zone importante (sbires, objectif...) sous peine de prendre des dégâts ou un contrôle."
Zoning Tool	Sort ou élément utilisé pour contrôler un espace sans forcément faire des kills (ex:barils de Gangplank, tourelle d’Heimer).	Zoning Tool : Sort ou élément utilisé pour contrôler un espace sans forcément faire des kills (ex:barils de Gangplank, tourelle d’Heimer).
